0	0.576669	0.528916	0.530266
1	0.763805	0.710702	0.712727
2	0.856963	0.851241	0.851392
3	0.900942	0.892422	0.892830
4	0.899007	0.881653	0.882499
5	0.887004	0.885004	0.885022
6	0.802225	0.799185	0.799187
7	0.916357	0.907534	0.907758
8	0.927616	0.925900	0.925910
9	0.877356	0.876342	0.876357
10	0.851655	0.852119	0.852119
11	0.914836	0.907734	0.907782
12	0.893851	0.892179	0.892179
13	0.936177	0.931296	0.931368
14	0.929402	0.928069	0.928068
15	0.951457	0.950236	0.950237
16	0.954768	0.953637	0.953637
17	0.942635	0.941612	0.941612
18	0.903776	0.903103	0.903102
19	0.939474	0.937245	0.937260
20	0.953110	0.952001	0.952000
21	0.941253	0.939885	0.939886
22	0.945441	0.944473	0.944473
23	0.942995	0.939567	0.939566
24	0.959582	0.957271	0.957271
25	0.962148	0.959531	0.959532
26	0.953358	0.952323	0.952323
27	0.961829	0.960826	0.960826
28	0.958879	0.958026	0.958026
29	0.960502	0.959418	0.959419
30	0.929271	0.927865	0.927865
31	0.940438	0.937580	0.937580
32	0.961719	0.960551	0.960550
33	0.940273	0.939646	0.939645
34	0.958075	0.957107	0.957107
35	0.946956	0.946157	0.946157
36	0.959741	0.957592	0.957592
37	0.960506	0.957897	0.957897
38	0.962620	0.961412	0.961412
39	0.962441	0.961376	0.961376
40	0.961683	0.960780	0.960780
41	0.965166	0.964068	0.964068
42	0.957985	0.956659	0.956659
43	0.954904	0.954038	0.954038
44	0.963681	0.962644	0.962644
45	0.952173	0.952029	0.952028
46	0.965044	0.963982	0.963985
47	0.961558	0.961112	0.961112
48	0.963675	0.962977	0.962977
49	0.961271	0.957719	0.957720
50	0.964080	0.963316	0.963316
51	0.965318	0.964708	0.964708
52	0.962404	0.961722	0.961722
53	0.963873	0.963035	0.963035
54	0.931985	0.936619	0.936619
55	0.951839	0.951674	0.951675
56	0.964051	0.963714	0.963714
57	0.953430	0.953582	0.953582
58	0.966134	0.965108	0.965108
59	0.960475	0.959890	0.959890
60	0.965835	0.964942	0.964941
61	0.967496	0.965286	0.965285
62	0.967677	0.966722	0.966722
63	0.966361	0.965676	0.965676
64	0.966592	0.965887	0.965886
65	0.967006	0.966272	0.966272
66	0.785821	0.798973	0.798973
67	0.963139	0.962973	0.962973
68	0.965126	0.964922	0.964921
69	0.958013	0.957849	0.957849
70	0.968338	0.967227	0.967226
71	0.966133	0.964379	0.964380
72	0.968070	0.967572	0.967572
73	0.967949	0.965217	0.965216
74	0.937011	0.939393	0.939393
75	0.959314	0.959184	0.959185
76	0.965085	0.964737	0.964737
77	0.965491	0.965117	0.965117
78	0.961586	0.961900	0.961900
79	0.964273	0.964052	0.964053
80	0.966978	0.966377	0.966378
81	0.965600	0.965567	0.965567
82	0.965977	0.964836	0.964836
83	0.968522	0.967630	0.967629
84	0.968311	0.967437	0.967437
85	0.961195	0.956123	0.956125
86	0.966977	0.966098	0.966098
87	0.966953	0.966278	0.966279
88	0.968331	0.966817	0.966821
89	0.967226	0.966351	0.966352
90	0.965775	0.965196	0.965196
91	0.966679	0.966225	0.966225
92	0.969379	0.968416	0.968416
93	0.963924	0.962808	0.962808
94	0.969998	0.968511	0.968511
95	0.842284	0.748119	0.748119
96	0.965986	0.965836	0.965836
97	0.968231	0.966289	0.966289
98	0.963681	0.964259	0.964258
99	0.966068	0.965450	0.965450
